"discharge_year","ppc_version","hospital_name","pfi","ppc_group_number","ppc_group_name","observed_rate_per_10_000_at_risk_discharges","risk_adjusted_rate_per_10_000_at_risk_discharges","significance"
"2023","40.0","Calvary Hospital Inc","1175","3","Gastrointestinal Complications","131.57894736842104","75.81311305382695","Similar"
"2023","40.0","Calvary Hospital Inc","1175","4","Perioperative Complications","0","0","Below"
"2023","40.0","Calvary Hospital Inc","1175","5","Infectious Complications","310.93279839518556","157.8994689253849","Above"
"2023","40.0","Calvary Hospital Inc","1175","6","Malfunctions, Reactions, etc.","57.19733079122974","37.212975744975985","Similar"
"2023","40.0","Calvary Hospital Inc","1175","8","Other Medical and Surgical Complications","142.99332697807438","123.03146397257392","Similar"
"2023","40.0","Canton-Potsdam Hospital","815","1","Extreme Complications","73.39449541284404","111.88985858092603","Above"
"2023","40.0","Canton-Potsdam Hospital","815","2","Cardiovascular-Respiratory Complications","162.02996025680218","235.81867153185888","Above"
"2023","40.0","Canton-Potsdam Hospital","815","3","Gastrointestinal Complications","20.58823529411765","26.509935314768555","Similar"
"2023","40.0","Canton-Potsdam Hospital","815","4","Perioperative Complications","16.437230326689953","54.1569725594159","Similar"
"2023","40.0","Canton-Potsdam Hospital","815","5","Infectious Complications","87.03481392557022","104.74962193056504","Similar"
"2023","40.0","Canton-Potsdam Hospital","815","6","Malfunctions, Reactions, etc.","36.25209146681539","43.56260751247119","Similar"
"2023","40.0","Canton-Potsdam Hospital","815","7","Obstetrical Complications","0","0","Below"
"2023","40.0","Canton-Potsdam Hospital","815","8","Other Medical and Surgical Complications","124.5753114382786","164.39837093345622","Similar"
"2023","40.0","Carthage Area Hospital Inc","379","1","Extreme Complications","0","0","Below"
"2023","40.0","Carthage Area Hospital Inc","379","2","Cardiovascular-Respiratory Complications","27.210884353741495","123.43994653068738","Similar"
"2023","40.0","Carthage Area Hospital Inc","379","3","Gastrointestinal Complications","0","0","Below"
"2023","40.0","Carthage Area Hospital Inc","379","4","Perioperative Complications","0","0","Below"
"2023","40.0","Carthage Area Hospital Inc","379","5","Infectious Complications","0","0","Below"
"2023","40.0","Carthage Area Hospital Inc","379","6","Malfunctions, Reactions, etc.","0","0","Below"
"2023","40.0","Carthage Area Hospital Inc","379","7","Obstetrical Complications","0","0","Below"
"2023","40.0","Carthage Area Hospital Inc","379","8","Other Medical and Surgical Complications","13.03780964797914","34.29261234104829","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","1","Extreme Complications","60.60606060606061","75.20725324517012","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","2","Cardiovascular-Respiratory Complications","48.07692307692308","58.498217006937246","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","3","Gastrointestinal Complications","34.403669724770644","33.02003809522221","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","4","Perioperative Complications","23.80952380952381","42.72112062638317","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","5","Infectious Complications","59.1016548463357","67.17373156532088","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","6","Malfunctions, Reactions, etc.","21.482277121374864","22.15331940718383","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","7","Obstetrical Complications","101.5228426395939","130.84886157593965","Similar"
"2023","40.0","Chenango Memorial Hospital Inc","128","8","Other Medical and Surgical Complications","43.47826086956522","48.262319096765935","Below"
"2023","40.0","Cobleskill Regional Hospital","10216","1","Extreme Complications","0","0","Below"
"2023","40.0","Cobleskill Regional Hospital","10216","2","Cardiovascular-Respiratory Complications","86.70520231213872","128.11269578706637","Similar"
"2023","40.0","Cobleskill Regional Hospital","10216","3","Gastrointestinal Complications","53.61930294906166","70.88115709912788","Similar"
"2023","40.0","Cobleskill Regional Hospital","10216","4","Perioperative Complications","0","0","Below"
"2023","40.0","Cobleskill Regional Hospital","10216","5","Infectious Complications","59.52380952380952","84.38003471442464","Similar"
"2023","40.0","Cobleskill Regional Hospital","10216","6","Malfunctions, Reactions, etc.","25.906735751295336","30.692204092006296","Similar"
"2023","40.0","Cobleskill Regional Hospital","10216","8","Other Medical and Surgical Complications","181.34715025906735","232.9782526391333","Similar"
"2023","40.0","Cohen Children's Medical Center","3376","1","Extreme Complications","77.67646065518406","79.56381251184881","Similar"
"2023","40.0","Cohen Children's Medical Center","3376","2","Cardiovascular-Respiratory Complications","214.28571428571428","174.83929168672427","Similar"
"2023","40.0","Cohen Children's Medical Center","3376","3","Gastrointestinal Complications","70.92198581560284","91.35416551298013","Similar"
"2023","40.0","Cohen Children's Medical Center","3376","4","Perioperative Complications","10.707784559374664","22.04598633261626","Below"
"2023","40.0","Cohen Children's Medical Center","3376","5","Infectious Complications","4.08371618172537","7.083046390924352","Below"
"2023","40.0","Cohen Children's Medical Center","3376","6","Malfunctions, Reactions, etc.","8.836264027569143","14.42328109705127","Below"
"2023","40.0","Cohen Children's Medical Center","3376","8","Other Medical and Surgical Complications","14.114326040931546","15.24351229429528","Below"
"2023","40.0","Columbia Memorial Hospital","146","1","Extreme Complications","94.10801963993453","127.97078071455091","Above"
"2023","40.0","Columbia Memorial Hospital","146","2","Cardiovascular-Respiratory Complications","175.65359477124184","210.77984903247318","Above"
"2023","40.0","Columbia Memorial Hospital","146","3","Gastrointestinal Complications","38.81987577639752","43.85978140514376","Similar"
