report_number,event_type,date_of_event,date_received,manufacturer_name,facility_state,patient_outcomes,device_problems,product_code,brand_name,generic_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence
1119421-2008-00058,Other,2007-01-01,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF,INTRAOCULAR LENS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high
1119421-2008-00082,Malfunction,,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF TORIC,INTRAOCULAR LENS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high
1119421-2008-00082,Malfunction,,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF TORIC,INTRAOCULAR LENS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high
1119421-2020-00730,Malfunction,2020-04-21,2020-04-28,"ALCON RESEARCH, LLC - HUNTINGTON",,,HQL,HQL,ACRYSOF MULTIPIECE IOL,INTRAOCULAR LENS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high
1119421-2020-00730,Malfunction,2020-04-21,2020-04-28,"ALCON RESEARCH, LLC - HUNTINGTON",,,HQL,HQL,ACRYSOF MULTIPIECE IOL,INTRAOCULAR LENS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high
1220452-2020-00042,Malfunction,2020-04-09,2020-04-27,"MEDTRONIC, INC",,,DQX,DQX,ATTAIN HYBRID GUIDEWIRE,"WIRE, GUIDE, CATHETER",C1755,"Catheter, intraspinal",catheter_guidewire,medium
1220452-2020-00042,Malfunction,2020-04-09,2020-04-27,"MEDTRONIC, INC",,,DQX,DQX,ATTAIN HYBRID GUIDEWIRE,"WIRE, GUIDE, CATHETER",C1769,Guide wire,,medium
1220452-2020-00044,Malfunction,2020-04-23,2020-04-28,"MEDTRONIC, INC",,,DQY,DQY,TAIGA 6F GUIDE CATHETER,"CATHETER, PERCUTANEOUS",C1725,"Cath, translumin non-laser",atherectomy_catheter,high
1314492-2020-01389,Malfunction,2020-03-18,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01389,Malfunction,2020-03-18,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01390,Malfunction,2020-04-02,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01390,Malfunction,2020-04-02,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01391,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01391,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01392,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
1314492-2020-01392,Malfunction,2020-03-19,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium
1314492-2020-01393,Malfunction,,2020-04-27,BAXTER HEALTHCARE CORPORATION,,,FRN,FRN,SPECTRUM INFUSION PUMP,INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high
