report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
2182207-2008-00731,,Death,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATOR LEAD,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
2182207-2008-00731,,Death,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATOR LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
2182207-2008-00771,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
2134265-2008-00487,,Injury,BOSTON SCIENTIFIC CORPORATION,,,NIQ,TAXUS EXPRESS2 PACLITAXEL-ELUTING CORONARY STENT SYSTEM,C1874,"Stent, coated/cov w/del sys",drug_eluting_stent,high,0,0
2134265-2008-00487,,Injury,BOSTON SCIENTIFIC CORPORATION,,,NIQ,TAXUS EXPRESS2 PACLITAXEL-ELUTING CORONARY STENT SYSTEM,C1875,"Stent, coated/cov w/o del sy",drug_eluting_stent,high,0,0
3012307300-2020-03440,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2134265-2008-00488,,Injury,BOSTON SCIENTIFIC CORPORATION,,,NIQ,TAXUS EXPRESS2 PACLITAXEL-ELUTING CORONARY STENT SYSTEM,C1875,"Stent, coated/cov w/o del sy",drug_eluting_stent,high,0,0
2134265-2008-00488,,Injury,BOSTON SCIENTIFIC CORPORATION,,,NIQ,TAXUS EXPRESS2 PACLITAXEL-ELUTING CORONARY STENT SYSTEM,C1874,"Stent, coated/cov w/del sys",drug_eluting_stent,high,0,0
3012307300-2020-03440,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03439,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03439,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03437,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03437,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,CADD SOLIS VIP PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1314492-2020-01399,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
