report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
1220452-2020-00044,2020-04-23,Malfunction,"MEDTRONIC, INC",,,DQY,TAIGA 6F GUIDE CATHETER,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
3011393376-2020-01550,2020-04-23,Malfunction,"ROCHE DIABETES CARE, INC.",,,LZG,ACCU-CHEK ® SPIRIT COMBO,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2938836-2020-02873,2020-04-23,Malfunction,"ST. JUDE MEDICAL, INC.",,,LWS,DURATA STS OPTIM ACTIVE FIXATION,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
9614453-2020-01363,2020-04-23,Malfunction,MEDTRONIC EUROPE SARL,,,LWS,EVERA MRI XT DR SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
9614453-2020-01363,2020-04-23,Malfunction,MEDTRONIC EUROPE SARL,,,LWS,EVERA MRI XT DR SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
9614453-2020-01363,2020-04-23,Malfunction,MEDTRONIC EUROPE SARL,,,LWS,EVERA MRI XT DR SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
2649622-2020-08302,2020-04-23,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2649622-2020-08302,2020-04-23,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2032227-2020-110781,2020-04-23,Injury,MEDTRONIC MINIMED,,,FRN,RESERVOIR 3ML,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110781,2020-04-23,Injury,MEDTRONIC MINIMED,,,FRN,RESERVOIR 3ML,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3011393376-2020-01536,2020-04-23,Malfunction,"ROCHE DIABETES CARE, INC.",,,LZG,ACCU-CHEK ® SPIRIT COMBO,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2649622-2020-08421,2020-04-23,Malfunction,MPRI,,,LWS,SPRINT,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
2649622-2020-08421,2020-04-23,Malfunction,MPRI,,,LWS,SPRINT,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
3004464228-2020-05986,2020-04-23,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2649622-2020-08421,2020-04-23,Malfunction,MPRI,,,LWS,SPRINT,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
2032227-2020-110673,2020-04-23,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110673,2020-04-23,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3004753838-2020-39036,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-39036,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-39269,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-39269,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
9614453-2020-01364,2020-04-23,Injury,MEDTRONIC EUROPE SARL,,,LWS,PROTECTA XT DR,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
2134265-2020-05779,2020-04-23,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,NIQ,SYNERGY,C1875,"Stent, coated/cov w/o del sy",drug_eluting_stent,high,0,0
2134265-2020-05779,2020-04-23,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,NIQ,SYNERGY,C1874,"Stent, coated/cov w/del sys",drug_eluting_stent,high,0,0
9614453-2020-01364,2020-04-23,Injury,MEDTRONIC EUROPE SARL,,,LWS,PROTECTA XT DR,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
9614453-2020-01364,2020-04-23,Injury,MEDTRONIC EUROPE SARL,,,LWS,PROTECTA XT DR,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
3004464228-2020-06044,2020-04-23,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN MANAGEMENT SYSTEM,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004464228-2020-05988,2020-04-23,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004464228-2020-05989,2020-04-23,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2032227-2020-111077,2020-04-23,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,LZG,MMT-712 PARADIGM INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004753838-2020-039257,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-039257,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2032227-2020-110577,2020-04-23,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110577,2020-04-23,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2134265-2020-05748,2020-04-23,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,DQY,COYOTE,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
2032227-2020-110567,2020-04-23,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110567,2020-04-23,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2649622-2020-08350,2020-04-23,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
2649622-2020-08350,2020-04-23,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
2649622-2020-08350,2020-04-23,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
3004753838-2020-038802,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-038802,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
2649622-2020-08356,2020-04-23,Malfunction,MPRI,,,MHY,ACTIVA,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
2649622-2020-08356,2020-04-23,Malfunction,MPRI,,,MHY,ACTIVA,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
2649622-2020-08432,2020-04-23,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE MRI SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
2649622-2020-08432,2020-04-23,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE MRI SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
2649622-2020-08432,2020-04-23,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE MRI SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
3004209178-2020-07787,2020-04-23,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,MHY,ACTIVA,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
3004753838-2020-39064,2020-04-23,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
9614453-2020-01349,2020-04-22,Injury,MEDTRONIC EUROPE SARL,,,LWS,EVERA MRI S DR SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
3004753838-2020-039250,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2649622-2020-08388,2020-04-22,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2938836-2020-02856,2020-04-22,Injury,ABBOTT,,,LWS,"FORTIFY VR, U1.6 SJ4 ID",C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
3004464228-2020-06045,2020-04-22,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD DASH¿ INSULIN MANAGEMENT SYSTEM,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004753838-2020-038799,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2938836-2020-02856,2020-04-22,Injury,ABBOTT,,,LWS,"FORTIFY VR, U1.6 SJ4 ID",C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
2134265-2020-05707,2020-04-22,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,DQY,STERLING,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
3004753838-2020-038801,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-039481,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3008973940-2020-00988,2020-04-22,Injury,MEDTRONIC SINGAPORE OPERATIONS,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
3008973940-2020-00988,2020-04-22,Injury,MEDTRONIC SINGAPORE OPERATIONS,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
3008973940-2020-00988,2020-04-22,Injury,MEDTRONIC SINGAPORE OPERATIONS,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
2649622-2020-08456,2020-04-22,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2649622-2020-08456,2020-04-22,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
3004753838-2020-039481,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
2134265-2020-05723,2020-04-22,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,NIQ,SYNERGY,C1874,"Stent, coated/cov w/del sys",drug_eluting_stent,high,0,0
3004753838-2020-039198,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2032227-2020-110308,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 1.8ML MMT-326A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2032227-2020-110308,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 1.8ML MMT-326A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110564,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2134265-2020-05723,2020-04-22,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,NIQ,SYNERGY,C1875,"Stent, coated/cov w/o del sy",drug_eluting_stent,high,0,0
9614453-2020-01349,2020-04-22,Injury,MEDTRONIC EUROPE SARL,,,LWS,EVERA MRI S DR SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
MW5094269,2020-04-22,Injury,"FORTOVIA THERAPEUTICS, INC.",,,FRO,GELCLAIR,A6196,Alginate dressing <=16 sq in,alginate_dressing,high,0,0
2032227-2020-110457,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,LZG,MMT-712 PARADIGM INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004753838-2020-039447,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
9614453-2020-01349,2020-04-22,Injury,MEDTRONIC EUROPE SARL,,,LWS,EVERA MRI S DR SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
3004753838-2020-039198,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-039132,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-039132,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
2649622-2020-08301,2020-04-22,Injury,MPRI,,,DTB,CAPSURE SENSE LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2649622-2020-08301,2020-04-22,Injury,MPRI,,,DTB,CAPSURE SENSE LEAD MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2032227-2020-110312,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,LZG,MMT-715 PARADIGM INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004464228-2020-05985,2020-04-22,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004753838-2020-39288,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-39288,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-038798,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2032227-2020-110564,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3004753838-2020-039447,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2649622-2020-08388,2020-04-22,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
3004753838-2020-039250,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-039247,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-038800,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-038800,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-038799,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
9614453-2020-01348,2020-04-22,Injury,MEDTRONIC EUROPE SARL,,,LWS,PRIMO MRI VR SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
9614453-2020-01348,2020-04-22,Injury,MEDTRONIC EUROPE SARL,,,LWS,PRIMO MRI VR SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
2649622-2020-08470,2020-04-22,Injury,MPRI,,,DTB,CAPSURE SP NOVUS LEAD,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2649622-2020-08470,2020-04-22,Injury,MPRI,,,DTB,CAPSURE SP NOVUS LEAD,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
3004753838-2020-038801,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-38947,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
2032227-2020-110398,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2032227-2020-110398,2020-04-22,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3004753838-2020-38947,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-038798,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
2938836-2020-02856,2020-04-22,Injury,ABBOTT,,,LWS,"FORTIFY VR, U1.6 SJ4 ID",C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
3004753838-2020-039247,2020-04-22,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
9614453-2020-01348,2020-04-22,Injury,MEDTRONIC EUROPE SARL,,,LWS,PRIMO MRI VR SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
2032227-2020-110408,2020-04-21,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 1.8ML MMT-326A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2649622-2020-08445,2020-04-21,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2649622-2020-08445,2020-04-21,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2032227-2020-110535,2020-04-21,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110420,2020-04-21,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2649622-2020-08444,2020-04-21,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2649622-2020-08444,2020-04-21,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
3011393376-2020-01549,2020-04-21,Malfunction,"ROCHE DIABETES CARE, INC.",,,LZG,ACCU-CHEK ® SPIRIT COMBO,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004464228-2020-05982,2020-04-21,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN MANAGEMENT SYSTEM,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3004464228-2020-05995,2020-04-21,Injury,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2032227-2020-110420,2020-04-21,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1119421-2020-00730,2020-04-21,Malfunction,"ALCON RESEARCH, LLC - HUNTINGTON",,,HQL,ACRYSOF MULTIPIECE IOL,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high,0,0
3004464228-2020-05983,2020-04-21,Malfunction,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN MANAGEMENT SYSTEM,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2032227-2020-110243,2020-04-21,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 2PK 3ML MMT-332AT,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3008973940-2020-00999,2020-04-21,Injury,MEDTRONIC SINGAPORE OPERATIONS,,,NVY,SPRINT QUATTRO SECURE MRI SURESCAN,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high,0,0
2032227-2020-110971,2020-04-21,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2032227-2020-110535,2020-04-21,Malfunction,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3004753838-2020-039686,2020-04-21,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004753838-2020-039686,2020-04-21,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-039737,2020-04-21,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004753838-2020-039737,2020-04-21,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0553,Ther cgm supply allowance,cgm_supply,medium,0,0
3004209178-2020-07772,2020-04-21,Injury,MEDTRONIC MED REL MEDTRONIC PUERTO RICO,,,DTB,CAPSURE Z NOVUS LEAD,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2032227-2020-110971,2020-04-21,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,FRN,RESERVOIR 3ML MMT-332A,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1119421-2020-00730,2020-04-21,Malfunction,"ALCON RESEARCH, LLC - HUNTINGTON",,,HQL,ACRYSOF MULTIPIECE IOL,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high,0,0
3004753838-2020-039739,2020-04-21,Malfunction,"DEXCOM, INC.",,,QBJ,DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM,K0554,Ther cgm receiver/monitor,cgm_receiver,medium,0,0
3004464228-2020-06002,2020-04-21,Injury,INSULET CORPORATION,,,LZG,OMNIPOD INSULIN PUMP,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
3011393376-2020-01524,2020-04-21,Malfunction,"ROCHE DIABETES CARE, INC.",,,LZG,ACCU-CHEK  SPIRIT COMBO,E0784,Ext amb infusn pump insulin,insulin_pump,high,0,0
2938836-2020-02888,2020-04-21,Malfunction,ABBOTT,,,NVY,RIATA PASSIVE FIXATION,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high,0,0
3004209178-2020-07772,2020-04-21,Injury,MEDTRONIC MED REL MEDTRONIC PUERTO RICO,,,DTB,CAPSURE Z NOVUS LEAD,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2134265-2020-05781,2020-04-21,Malfunction,BOSTON SCIENTIFIC CORPORATION,,,NIQ,PROMUS ELEMENT PLUS,C1875,"Stent, coated/cov w/o del sy",drug_eluting_stent,high,0,0
